Rank,RollNo,Course
1,2048170,B4110
2,6026142,B4110
3,2034064,B4110
4,6008003,B4110
5,6007141,B4110
6,7004312,B4110
7,7014009,D4110
8,4002423,B4110
9,6013169,B4110
10,6003158,B4110
11,6015181,B4110
12,6010141,B4110
13,1035354,B4110
14,6007161,B4110
15,6004173,B4110
16,6043024,B4110
17,5004256,B4110
18,6010061,B4110
19,6081255,B4110
20,6008298,B4110
21,2021022,B4110
22,2034179,B4110
23,6020177,B4110
24,1033156,B4110
25,6019066,B4110
26,1076104,B4110
27,2048135,B4110
28,6042031,B4111
29,2003213,D4110
30,6041175,B4110
31,2054117,B4110
32,6039154,M4111
33,2029013,B4110
34,6039230,B4111
35,1029410,B4125
36,6014207,B4110
37,6007008,B4110
38,6060306,B4110
39,6045010,B4110
40,5016313,K4111
41,6032304,B4110
42,6078263,B4110
43,6027124,B4110
44,6023095,B4110
45,6023021,B4110
46,6019201,B4110
47,6033068,D4111
48,2026016,D4110
49,6001199,B4110
50,5009130,B4110
51,4004241,B4110
52,5009267,B4111
53,6022057,B4111
54,1057073,D4110
55,1025041,D4110
56,1006315,D4110
57,1056330,D4110
58,1060135,D4110
59,2030105,D4110
60,6025139,B4110
61,6016073,D4110
62,5002286,M4110
63,2002021,D4110
64,6018168,D4110
65,1030205,D4110
66,6012300,D4110
67,6004116,B4111
68,2016326,D4110
69,4014028,B4111
70,1059369,B4111
71,7004126,D4110
72,4032367,D4110
73,6044350,D4110
74,6036244,D4110
75,2022300,D4110
76,1008104,B4110
77,5018087,D4110
78,6055174,B4111
79,6044314,B4110
80,7004352,D4110
81,6009024,M4110
82,1053155,D4110
83,6018292,B4110
84,5022218,D4110
85,6015123,D4110
86,7014229,D4110
87,1024235,B4111
88,1059018,D4110
89,1062275,D4110
90,7027030,D4110
91,6041016,D4110
92,6045037,M4110
93,1044074,B4111
94,6020062,B4111
95,6035012,D4110
96,6016015,D4110
97,6044270,D4110
98,5033298,D4110
99,1035356,D5216
100,2007171,K4110
101,4023023,K4110
102,7016375,K4110
103,2008037,D4111
104,6043030,M4110
105,2003257,D5216
106,1015045,B4111
107,1055205,K4110
108,6036059,M4110
109,5007022,B4110
110,1051350,B4111
111,6026160,D4111
112,4022189,K4110
113,5035392,M4110
114,2037175,K4110
115,6036062,M4110
116,6031005,M4110
117,1061156,K4110
118,4007222,K4110
119,1063228,K4110
120,1055318,K4110
121,1061293,B4110
122,6015144,M4110
123,1047052,K4110
124,6037005,B4111
125,1038212,B4111
126,1028370,B4111
127,6012226,M4110
128,7014472,B4111
129,6027098,B4125
130,5023282,K4110
131,5026089,B4111
132,7013025,D4111
133,6054199,M4110
134,1026104,B4111
135,2023057,K4110
137,6041095,B4110
138,7011150,K4110
139,6022224,M4110
140,6050033,M4110
141,4034229,B4111
142,1057313,B4110
143,5032138,K4110
144,4007171,K4110
145,4035017,K4110
146,2028052,D5216
147,6001141,M4110
148,1012271,B4111
149,6025249,K4110
150,1002186,B4111
151,6025219,M4111
152,5009143,B4111
153,6014271,K4110
154,1006313,B4111
155,6033006,B4111
156,2020341,D5216
157,6033261,K4110
158,5010143,B4111
159,6023016,K4110
160,1056195,B4111
161,4003004,K4110
162,4036283,D4111
163,4011156,D5216
164,1062356,B4101
165,1057393,D5216
166,4037038,D5216
167,1019013,B4111
168,5027095,B4111
169,2013069,D5216
170,1046020,K4110
171,5040132,D5216
172,7024212,K4110
173,6022282,K4110
174,1064284,K4110
175,7017207,D5216
176,1013319,K4110
177,2026029,D4111
178,2038217,B5221
179,2010021,K4110
180,6043188,G4110
181,6017138,K4110
182,6024156,B4110
183,6038044,G4110
184,2034022,K4110
185,6035094,K4110
186,6019171,K4110
187,1057301,D4111
188,4034052,K4110
189,6031130,K4110
190,7012221,K4110
191,1030068,B5221
192,7016092,D4111
193,6020171,B4110
194,7002023,D4111
195,2012252,K4110
195,6017246,B4110
197,2040196,K4110
198,7023158,K4110
199,6035265,K4110
200,1022192,K4110
201,1012381,K4110
202,5039038,K4110
203,6044112,K4110
204,1046269,B4125
205,1026172,B5221
206,2026129,D4111
207,6027359,K4110
208,1058339,D4111
209,1021097,D4111
210,1042110,B4125
211,6001140,B4110
212,6002190,M5216
213,6014277,B4110
214,1025242,B5221
215,6043203,G4110
216,5005289,G4110
217,4022212,G4110
218,6001254,M5216
219,6013049,M5216
220,7007094,D4111
221,6058008,D4111
222,6006203,M5216
223,6010279,G4110
224,1028148,B4125
225,6083077,M5216
226,6034087,D4111
227,6040055,B4110
229,6019294,G4110
230,1077321,B4110
231,6080201,M4111
232,7032157,G4110
233,6034274,D4111
234,6031040,D4111
235,6032333,B4111
236,2048255,B4125
237,6043336,D4111
238,6031069,M4125
239,2015042,D4111
240,6025163,B4110
241,2049036,B5221
242,1021203,B5221
243,2022277,D4111
244,1026205,G4110
245,2008206,D4111
246,2048088,G4110
247,6011238,D4111
248,2028092,G4110
249,7015284,B4125
250,1064256,D4111
251,1020090,B5221
252,5037272,D4111
253,2014356,G4110
254,4001268,D4111
255,2016214,D4111
256,6010268,B4111
257,2004114,G4110
258,1028193,B5221
259,6040111,D4111
260,1075417,D4111
261,1007218,D4111
262,2031168,D4111
263,7006426,D4111
264,6061122,B4125
265,1012399,G4110
266,6057100,D4111
267,1056224,D4111
269,6009287,M5216
270,1052181,M5216
271,1012184,D4111
272,7001428,D4110
273,5015175,B4110
274,1029148,D4111
275,1022218,B5221
276,4008275,G4110
277,5025298,G4110
279,2049063,D4111
280,1053223,B5221
281,6014148,K4111
282,2029293,G4110
283,7007209,D4124
284,3017250,D4111
285,2049088,G4110
286,6079155,B4110
287,6032238,B4110
288,6034271,M4111
289,6006007,M4111
290,2040075,G4110
291,6015259,B4110
292,1028030,B5221
293,2048010,G4110
294,1053351,B5221
295,1063098,B5219
296,6082149,B4110
297,6084277,M4111
298,6024113,G4110
298,1047048,G4110
300,6004096,B4110
301,4036112,G4110
302,2028063,G4110
303,6026002,G4110
304,5020329,G4110
305,2007225,G4110
306,6040318,M5216
307,3024018,D4110
308,7008199,D4110
309,7007132,B4125
310,4015389,K4111
311,1030280,B5221
312,5035297,B4125
313,2012212,D4110
314,7013160,R4110
315,6016128,D4112
316,6014237,M4111
317,2049111,K4111
318,6029222,M4111
319,6077035,M5216
320,6002088,B4125
321,6027180,B5221
322,6008082,K4111
323,1064118,B5221
324,6032060,M4111
325,6025166,M5216
326,2027147,M5216
327,6026114,M4125
328,1019059,B5219
329,1027204,B5219
330,5040022,B5219
331,1053124,M4111
332,6002033,B5219
333,7008529,D4124
334,6008131,M5216
335,1041129,B4117
336,2002126,G5216
337,6038152,M4111
338,6016232,G4111
339,2040157,B4125
340,1021193,M5216
341,5032063,G5216
342,6017250,K4111
343,6044074,M4111
344,1051223,K4111
345,6079162,M4111
346,6010009,M4111
347,6023234,G4115
348,6058253,B4125
349,6053271,M4111
350,6044144,G5216
351,5009211,D4124
352,6073190,M4111
353,6039337,M4111
354,1042222,B4110
355,1022136,B4125
356,4001372,B5219
357,1003251,B4125
358,5012283,G5216
359,2028051,R4110
361,6006025,R4110
362,1058087,R4110
363,6040025,M4125
364,4009030,G5216
366,2029175,W4110
367,2031312,D4124
368,6083075,M4110
369,6084286,M4125
370,7005060,G5216
371,2017069,G5216
372,5004275,D4110
373,2039060,D4124
374,2007165,B4125
375,1044137,B4110
376,7011045,K4111
377,1067300,B4125
378,2007195,R4110
379,2010193,K4111
380,6026030,B4110
381,7005019,D4125
382,1058361,B4125
383,6027252,B4110
384,6029238,M4110
385,1025048,G5216
386,4035158,K4111
387,1007194,K4111
388,1026253,B5219
389,2027161,G5216
390,1064071,K4111
391,7006288,G5216
392,2036216,B4125
393,4004357,B5219
394,2011125,D4124
395,7012201,D4125
396,4001008,B4110
397,4014011,D4111
398,1022080,B4110
399,2013173,D4124
400,7010047,K4111
401,6006166,M4111
402,2038128,B5219
403,6069222,M4111
404,1034214,G5216
405,1051123,B4125
406,2052049,G5216
407,6043286,M4111
408,1026289,B4125
409,6010177,G5216
409,6038006,M4111
409,7024189,D4110
412,6016126,K4111
413,7004162,D4124
414,4001281,B4111
415,5004110,G5216
416,5026168,G5216
417,6085225,M4110
418,5024358,D4110
419,5038290,G5216
420,7008112,D4110
421,6063071,M4111
422,6012120,R4110
423,2022219,D4110
424,6082068,M4111
425,6035118,M4111
426,6021193,B4110
427,6027207,G4115
428,1056179,B4125
429,6084243,M4111
430,7004372,B5219
431,6035220,M4111
432,4006435,G5216
433,1026092,B5219
434,6040309,M4111
435,2028017,R4110
436,6040130,M4111
437,1039107,B4111
438,1061179,R4110
439,4006438,D4124
440,1021355,B5219
441,6011010,B4125
443,6085223,G5216
444,6059035,M4111
445,1036172,G5216
446,1026298,B5219
447,1061345,B5219
448,6079008,M4111
449,3011196,B4111
450,6036120,B4110
450,2014314,D4124
452,6008262,M4111
453,1028178,B4125
454,7002357,K4111
455,1020275,D4125
456,6013162,D4110
457,6044261,B4111
458,1028012,B5219
459,6078229,M4111
460,2015158,K4111
461,6020222,K4111
462,7004356,D4124
463,1061158,D4110
464,6009264,K4111
465,1039195,B4125
466,4004170,B4125
467,2022230,R4110
468,1039080,K4111
469,6020176,R4110
470,1056331,K4111
471,6005241,G4111
472,1025214,B4125
473,1061056,K4111
474,1046220,B4111
475,6036077,G4115
476,5026188,K4111
477,5007018,D4110
478,6051030,D4110
479,7016367,D4124
480,2022187,D4124
481,2034017,D4124
481,6037104,G4111
483,6044262,G4115
484,6044104,K4111
485,1047021,D4124
486,4007164,K4111
487,5010075,G4115
488,6056223,M5217
490,1063322,R4110
491,1051146,B4125
492,2035066,B4125
493,1052445,D4124
494,7002442,D4124
495,6040353,G4111
496,6036207,B4125
496,2035001,B4125
498,2049127,B4125
499,1043081,D4125
500,1055249,B4125
501,6081054,M4111
502,6017075,K4111
503,1056275,K4111
504,4004178,K4111
505,6003167,B4125
506,5002201,D4110
507,1031236,B4125
508,6024077,G4115
509,2027201,K4111
510,4006419,D5254
511,6082001,M5217
512,6025040,B4125
513,2001260,K4111
514,1052219,R4110
515,1076065,K4111
516,6053098,K4111
517,3029043,K4111
518,7001309,R4110
519,5015287,K4111
520,2012023,K4111
521,6033122,K4111
522,1025239,B4125
523,4009134,D4110
524,2034024,D5254
525,6036130,K4111
526,6043235,R4110
527,4004344,B4117
528,6026172,M4125
529,2021027,R4110
530,4006437,B4125
531,1045242,K4111
532,1058315,K4111
533,2019123,D5254
534,1051061,K4111
535,7006044,R4110
536,1021252,B4125
537,7001163,R4110
538,5037122,D5254
539,2010195,K4111
540,5037285,B5235
541,1021210,B4125
542,6034125,B4125
543,2007377,K4111
544,1075151,D4110
545,2049217,B4125
546,7007137,D5254
547,2002312,R4110
548,1028009,B4117
549,1054126,K4111
550,2009308,R4110
551,1055051,R4110
552,1051314,K4111
553,2026233,D4110
554,6043166,K4111
555,1045433,B4125
556,1007211,R4110
557,7013209,R4110
558,1057093,K4111
559,1021243,B4125
560,5006171,B4125
561,1024210,B4125
562,2033036,D5254
563,6033332,G4115
564,6010053,G4115
565,1043313,K4111
566,1040226,K4111
567,4007227,D5254
568,6034282,D4110
569,6009061,D4110
570,7006385,K4110
571,7004124,K4111
572,6035187,B4111
573,4006454,B4125
574,2021387,D4125
575,1051276,B5229
576,1061274,K4111
577,1060359,K4110
578,4036279,K4111
579,1013366,B4125
580,6085239,M4125
581,1024117,B4125
582,6005221,K4111
583,6001016,G4115
584,5034009,G4115
585,1031245,G4115
586,1028330,B4125
587,2016184,D4125
588,2035119,B4109
589,4034141,K4111
590,2043178,D4111
591,1041171,D5254
592,4028024,K4111
593,4020271,D4125
594,6079275,M4110
595,7022141,K4111
596,6035005,B4111
597,6051044,G4115
598,6001204,G4115
599,6027335,K4111
600,2008396,D4125
601,7021280,R4110
603,4002390,R4110
604,6037098,M4110
605,1027251,B4117
606,5040105,K4111
607,7014276,K4111
