Rank,RollNo,InstituteCode,CourseCode
325,2038148,106,5216
326,6022158,106,5216
327,1023173,102,4125
328,2004093,104,4125
329,5044137,106,4115
330,2031159,104,4111
331,6080044,110,4111
332,6039216,106,5216
333,1031225,102,5221
334,2030254,104,4124
335,2033145,104,4111
336,1084060,113,4110
338,4009181,106,5216
339,5017115,104,4124
342,1053101,110,4111
343,1031162,104,4124
344,7002177,104,4111
345,2010174,113,4110
346,5029112,104,4111
347,2030098,113,4110
348,5040323,113,4110
349,1059123,104,4124
352,1059342,113,4110
353,1043122,102,5221
354,1051210,106,5216
356,1062203,104,4111
357,2027405,106,5216
359,5014181,104,4124
360,6031062,106,5216
361,5005006,102,5221
362,2042221,104,4111
363,7001177,113,4110
366,6051223,106,5216
367,7008096,113,4110
368,2004118,102,5219
369,1001155,106,5216
370,1064094,102,5221
371,1003162,102,4125
372,1018081,106,5216
373,6030096,104,4111
374,5002092,106,5216
375,1047197,104,4111
376,7021296,104,4124
378,2028060,104,4111
380,2039131,104,4124
381,7009183,113,4110
382,6026151,106,5216
384,7008104,113,4110
385,5009005,106,5216
386,2029171,104,4125
387,1044157,102,5221
388,2006080,113,4110
389,2011074,106,5216
390,6022264,104,5254
391,6015046,104,4124
392,6049101,110,4111
394,2007178,104,4111
395,1028078,104,4111
396,1070153,104,4111
397,1015058,104,4124
398,7028192,104,4111
399,7020194,104,4111
400,6067042,110,4111
401,6101004,110,4111
403,7003261,104,4111
404,4001244,102,4125
405,2027216,104,5254
406,4014143,113,4110
406,5024061,117,4110
408,1066189,113,4110
409,4014073,113,4110
410,7015171,102,4125
411,4007207,113,4110
412,2007244,113,4110
414,5011119,102,4125
415,5056090,102,5219
416,6040179,113,4110
418,6038235,107,4110
419,7020144,102,5221
420,7002176,109,4111
421,2037049,113,4110
422,4044120,102,4107
424,6050217,106,4115
425,2019170,109,4111
426,2039052,102,5221
427,6100065,110,4111
428,1016173,113,4110
429,7011083,113,4110
430,1084090,102,4125
432,7006098,113,4110
434,2001175,113,4110
435,1068082,102,4125
436,7002209,102,4125
437,2010101,104,5254
438,6035259,110,4111
440,1068316,102,4125
441,4014103,113,4110
442,4021446,113,4110
443,6104066,110,4111
444,2027225,102,4125
445,1026041,102,4125
446,1061216,113,4110
447,6034181,104,5254
448,6041176,113,4110
449,2025222,104,5254
450,7030002,104,5254
451,6077082,113,4110
453,1061162,113,4110
454,1013083,113,4110
456,4011176,104,5254
458,2003111,109,4111
460,6025128,110,4111
462,1073121,113,4110
463,4032169,109,4111
464,4039079,109,4111
466,1085269,113,4110
467,5048192,117,4110
468,5009094,110,4111
470,2017149,109,4111
471,1022139,102,4125
472,6034229,113,4110
473,7029140,109,4111
474,1030118,102,5221
475,7030230,104,5254
476,6046176,113,4110
477,7003023,104,5254
478,1002141,110,4111
480,1052127,102,4125
482,1066266,113,4110
483,1072006,102,5221
484,1026082,117,4110
485,1058085,102,5221
486,1060202,102,4125
487,2042211,109,4111
488,2041257,117,4110
489,7021180,107,4110
491,1039187,102,4125
492,4002094,102,5219
493,1003163,111,4110
494,4038091,104,4125
495,3040198,109,4111
496,1073233,109,4111
498,2031092,117,4110
499,6024161,110,4111
500,2024189,116,4110
501,7007117,117,4110
503,6005025,110,4111
506,1085060,117,4110
507,1073066,102,4125
509,6028215,110,4111
510,4024100,109,4111
511,4014227,104,4125
513,6049161,117,4110
514,4009306,102,5221
515,1013067,102,4117
516,2033007,117,4110
517,6016081,110,4111
518,1069184,109,4111
519,6055093,110,4111
520,1065323,117,4110
521,4005113,102,4125
522,2042163,102,5219
523,4022098,109,4111
524,1066106,102,4125
525,5042110,102,4117
526,2013059,109,4111
527,1060099,104,4125
528,1006093,109,4203
529,7030234,109,4111
530,7008012,104,4125
531,2009316,102,5219
532,5054175,109,4111
533,2039093,102,5219
534,1041164,102,4125
535,6013137,110,4125
536,6042140,102,4125
537,1048136,102,4125
538,1060086,117,4110
539,1058165,102,4125
541,7005166,109,4111
542,6038114,106,4115
543,1031151,102,5219
544,2041272,117,4110
545,7004160,109,4111
546,1072131,109,4111
547,6017160,110,4111
548,5011191,102,5219
549,2028218,104,4112
550,7011074,117,4110
551,6100037,107,4110
552,6011105,117,4110
553,7004266,117,4110
554,1034127,117,4110
555,5012098,102,4125
556,4015135,109,4111
558,4007009,102,5219
559,1068195,117,4110
561,6024146,110,4111
562,1061208,102,5219
563,2040224,102,5219
564,6033258,117,4110
565,6052168,117,4110
566,2034205,102,4125
567,1019125,102,4125
568,1006092,110,4111
569,2026126,109,4111
570,6084097,102,4117
571,2053112,117,4110
572,3035086,117,4110
573,4006470,109,4203
574,4001105,107,4110
576,2010198,116,4110
577,4008065,102,5219
578,2041108,102,5219
579,4011208,116,4110
580,2029077,104,4125
581,6041297,102,4125
582,6018129,117,4110
583,7005127,102,5219
586,6023234,110,4111
587,6035064,117,4110
588,6040201,102,4125
589,6052050,110,4111
590,1073252,110,4111
591,1030251,102,4125
592,1069032,117,4110
594,1044029,102,4117
595,7001141,109,4111
596,1074252,109,4111
597,2053071,104,4125
598,1070215,117,4110
599,7003166,117,4110
600,1066178,102,4125
601,5049095,117,4110
602,2001151,117,4110
603,7031131,109,4111
604,1070149,102,4125
605,6006055,110,4111
606,6039105,110,4111
607,1070352,109,4111
609,6022156,109,4111
610,1026135,102,4125
611,2033095,104,4125
613,1064081,117,4110
614,4005019,102,4125
615,2027133,109,4111
618,1069071,109,4111
619,1011063,109,4204
620,5042148,102,4125
621,5035067,102,4125
622,1062293,106,4125
623,4042236,116,4110
624,4032329,109,4111
626,2015057,109,4111
627,4028122,109,4111
628,6027276,109,4111
629,6015145,106,4115
631,3040161,106,4115
632,5018107,104,4125
633,1058274,117,4110
635,7029204,109,4111
636,1053125,109,4111
637,6030191,117,4110
638,7021119,117,4110
639,7011062,109,4111
640,4014068,104,4125
641,2041328,116,4110
642,6051236,107,4110
643,4022218,109,4111
644,2006153,104,4125
645,7007187,116,4110
646,7021302,117,4110
647,2041126,102,4125
649,5048155,106,4115
650,1074234,116,4110
651,3023077,102,4125
652,6052137,110,4125
653,2055222,117,4110
654,1066097,109,4111
655,1025228,109,4111
656,2019302,116,4110
657,2037196,117,4110
659,7001181,117,4110
660,2022147,104,4125
661,4019097,117,4110
663,6035099,110,5217
665,2004153,117,4110
666,6049232,117,4110
667,6065135,106,4115
668,1064268,116,4110
669,6030203,107,4110
670,6051173,116,4110
672,6027183,106,4115
673,1084225,109,4111
674,1025160,102,4125
675,5016203,116,4110
676,7006051,104,4125
677,6045107,110,4125
679,6103025,116,4110
680,2040154,109,4203
681,7021171,104,4125
682,1047175,102,4125
683,1064256,109,4203
684,5013073,109,4203
685,1044072,102,4125
686,1062081,109,4111
687,2037099,116,4110
689,7039060,109,4111
690,2030017,109,4111
691,1002081,116,4110
692,6028032,107,4110
694,1003226,102,4125
695,1069230,109,4111
696,7031214,109,4111
698,1070069,109,4111
699,1085209,108,4110
701,1066081,109,4203
702,7008166,104,4112
704,1071127,116,4110
705,1058287,102,4125
706,2030266,104,4112
707,1068085,102,4125
708,7032082,116,4110
709,4004138,109,4111
710,6014080,106,4115
