Rank,RollNo,InstituteCode,BranchCode
319,6099105,110,4111
320,4011198,102,5221
321,2088153,106,5216
322,7020054,113,4110
323,7016263,113,4110
324,4049081,109,4111
325,3035094,102,5221
326,2064227,104,4111
327,6123178,110,4111
329,7023169,104,4111
331,2018101,104,4111
332,7019049,113,4110
333,1087081,117,4110
334,6020160,110,4111
336,6037219,113,4110
337,6079261,110,4111
338,4068049,104,4111
339,2045045,102,4125
340,1031145,104,4111
341,6097136,104,4111
342,7023186,106,5216
343,7019101,104,5254
344,4048075,109,4111
345,2061287,113,4110
348,7005142,113,4110
349,2086081,102,5221
350,1060360,104,4111
351,2057101,102,5221
353,4066024,113,4110
354,2055067,113,4110
355,2091073,113,4110
356,1059071,102,5219
357,1061071,102,5219
358,1004097,109,4203
359,2016092,104,4111
360,7032196,104,4111
361,5063101,104,4111
362,1081150,106,5216
363,7020091,113,4110
364,1059272,102,5221
365,4013116,113,4110
367,7020067,104,4111
368,7006279,113,4110
369,1096241,102,5221
370,1060178,102,4125
371,2032343,104,4111
372,7022193,113,4110
373,2013118,104,4111
374,2056139,113,4110
375,2089076,106,5216
376,7014232,106,5216
377,5058128,104,4111
378,2059113,104,4111
379,7030048,113,4110
380,6095005,110,4110
381,2021060,104,4111
382,2056154,113,4110
383,2047210,109,4111
384,2007375,113,4110
385,2092075,104,4111
386,1081203,102,5221
387,5068058,106,5216
388,2054054,113,4110
389,1057079,102,4125
390,2085195,106,5216
391,7032181,113,4110
392,2034053,104,5254
394,1058075,102,4111
395,6025168,106,5216
396,2015212,104,4111
397,7003321,104,4111
398,2014173,113,4110
399,2055081,104,4111
400,6008046,113,4110
402,6127046,110,4110
403,6035138,110,4111
404,1038106,104,4111
405,2052092,106,5216
406,1042130,110,4111
407,2004256,104,4111
408,1090133,109,4111
410,6128137,113,4110
411,7014145,113,4110
412,6102114,113,4110
413,3032093,104,4111
415,2090122,104,4111
416,7020079,113,4110
417,6078022,110,4110
418,1080090,102,5221
419,6121114,117,4110
420,6092134,117,4110
421,6039120,104,4111
423,6104096,106,5216
424,7005106,104,5254
425,2005199,106,5216
426,1057242,102,5221
427,2021005,109,4110
428,1094097,102,4125
429,5014110,104,5254
430,4073024,109,4203
431,4056093,109,4203
432,6073349,102,4125
433,6038137,104,5254
434,2088361,104,4111
436,5014149,110,4111
437,7040145,117,4110
438,6118026,106,4110
439,1004241,117,4110
440,4017141,102,5221
441,6039105,117,4110
442,6114087,117,4110
443,7005079,117,4110
444,6036122,104,4111
445,6115088,107,4110
446,6126104,102,5221
447,1060180,102,5219
448,2044172,104,5254
449,6034002,110,4111
450,2004123,117,4110
451,1092061,117,4110
452,2032124,104,5254
453,1034085,102,4125
454,6103023,106,4110
455,2008209,117,4110
456,6037109,117,4110
457,7003120,104,4111
458,1059175,102,5219
459,1095154,102,5219
460,7023223,104,4111
461,2085139,117,4110
462,2060064,104,4111
463,7013141,117,4110
464,6030250,117,4110
465,6105119,110,4111
469,2025090,117,4110
470,4012011,106,4110
471,6031245,117,4110
472,5059065,109,4111
473,1088066,102,5219
474,1059139,102,4125
476,7018113,109,4111
477,5055072,117,4110
478,5037075,117,4110
480,6031136,117,4110
481,2050082,109,4111
482,2069030,102,4111
483,2021059,102,5219
484,7044142,102,5219
485,5063146,102,5219
486,2019005,109,4110
487,4044178,109,4203
488,6100085,110,4111
489,1005071,117,4110
490,2019178,117,4110
492,7020099,102,4125
493,6108118,110,4111
494,4003315,110,4111
495,2086202,117,4110
496,3046046,102,5219
497,1088079,102,4125
500,2054190,109,4111
502,2086103,104,4112
503,6126086,110,4111
504,2067066,117,4110
505,7014009,104,5216
506,2066032,109,4110
508,6030005,106,4110
510,2035153,117,4110
511,1088155,102,4125
512,2012215,102,5219
514,2014109,117,4110
515,1026173,102,4125
516,2089248,117,4110
517,2027247,102,4125
518,2005097,117,4110
519,1072159,102,4125
520,6075113,110,4111
521,5061272,109,4111
522,1005119,102,4117
523,2064198,117,4110
524,6120174,110,4111
526,6072191,110,4111
527,4018237,116,4110
529,4069046,109,4111
530,4010113,117,4110
531,4011115,117,4110
532,6129143,117,4110
533,4016157,102,4125
534,2004130,109,4111
535,5066125,106,4115
536,1094084,110,4111
537,5014152,110,4111
538,2090236,117,4110
539,7021038,102,5219
541,1079136,102,5219
542,2045004,102,4111
543,2054068,102,4125
544,1081132,117,4110
545,2065141,104,4125
546,4007182,117,4110
547,2075162,110,4111
549,4005078,102,4125
550,2029079,106,4115
551,7019097,102,4117
552,6097132,117,4110
553,6115188,110,4111
554,7034177,117,4110
555,2085062,109,4110
556,2030154,102,5219
557,5064001,109,4110
558,4041093,110,4111
559,6117123,107,4110
560,6026189,110,4111
561,6122078,107,4110
562,6031135,107,4110
563,2028362,109,4203
564,2087169,109,4111
565,5060232,106,4115
566,2076095,107,4110
567,5061194,106,4115
568,6081069,110,4111
570,6043046,107,4110
571,1020063,117,4124
572,4009249,102,4125
573,7018094,109,4111
574,2018148,116,4110
576,4063006,109,4110
578,1069106,106,4115
579,6110130,102,4125
580,2007250,116,4110
581,2088145,104,4125
582,1043082,117,4124
583,7035257,109,4203
585,1041127,109,4111
586,6030125,102,4125
588,1061112,102,4125
589,2019067,104,4112
590,1027146,109,4111
591,1024140,110,5217
592,6079091,110,5217
593,6073204,110,5217
594,2030082,102,4125
595,2007389,104,4112
596,2004095,109,4111
597,4011130,109,4111
598,4053124,104,4125
599,6123103,106,4115
600,7022023,109,4111
601,6034238,107,4110
602,6035106,107,4110
603,2085148,109,4111
606,7001192,109,4111
607,2061017,102,4111
608,6076109,107,4110
609,4053164,116,4110
610,2061229,102,4125
611,5025117,109,4111
612,2089348,106,4111
613,7040160,116,4110
614,2046113,109,4111
615,4018234,109,4111
616,3022061,116,4110
617,6104113,110,5217
618,6127185,106,4115
619,7043154,104,4112
620,1053049,102,4117
621,6127134,109,4111
622,1081089,106,4115
623,1003131,109,4111
625,7013171,102,4125
626,6094197,106,4115
627,4010069,109,4111
628,7020178,109,4111
629,2052267,102,4125
631,7005088,109,4111
632,2030126,109,4111
633,4047117,109,4111
634,6112107,106,4115
636,7018138,109,4111
637,1009050,109,4111
638,7021017,109,4111
639,7016022,113,4110
640,6108163,107,4110
641,2015098,107,4110
642,2060166,109,4111
643,5011002,106,5216
645,1004018,104,4124
647,4016002,104,4124
649,7045407,117,4124
650,2052249,109,4111
651,1079106,107,4110
652,4008078,109,4111
653,1059187,102,4107
655,6034139,106,4111
656,3040050,109,4111
657,2088142,109,4111
658,1077125,107,4110
659,6048063,106,4115
660,2004191,104,4125
661,1060079,109,4111
662,2012147,109,4111
663,4038041,116,4110
664,2054301,109,4203
666,5030039,102,4125
669,2069013,113,4110
670,5051067,104,4112
671,1061278,102,4125
672,2055058,109,4111
673,1057170,110,5217
674,5063155,104,4125
675,6124082,107,4110
677,2086225,109,4111
678,1084053,102,4125
679,2041070,102,4125
680,1082197,102,4125
681,2074103,107,4110
682,5010107,102,4125
683,2072051,109,4203
685,1016107,109,4111
686,6075410,110,5217
687,2059150,109,4203
688,2090230,116,4110
689,6054102,110,4125
690,5062195,109,4111
691,1080060,102,4125
692,6033376,107,4110
694,7004249,104,4125
696,2035174,109,4111
697,7043209,109,4203
698,4007195,109,4111
699,4047089,109,4111
701,6124117,106,4115
702,4003101,102,4125
703,5061112,104,4125
704,2017130,102,4117
705,2091177,104,4125
706,2007273,109,4203
707,4043251,109,4203
708,6108088,107,4110
710,2089173,109,4111
711,2066156,109,4111
712,1021064,102,4125
713,2048057,116,4110
714,6035354,106,4115
715,2088071,109,4111
716,4023049,116,4110
717,6115093,106,4115
719,2063012,113,4110
720,1057182,102,4125
721,1095064,102,4125
722,6049004,110,4111
723,5044155,106,4115
724,2009138,117,4124
725,7032110,116,4110
726,2020163,109,4111
728,4019193,102,4125
729,6119281,110,5217
730,1003014,102,4111
731,2069076,116,4110
732,6039244,107,4110
