RANK,ROLL No,Inst Code,Branch Code
298,2076108,113,4110
299,2068069,113,4110
300,1014122,113,4110
301,4017129,104,4124
302,2050026,102,4110
303,2009050,113,4110
305,7041194,113,4110
306,1054244,102,5217
307,6042180,113,4110
308,2011401,104,4124
309,4011159,102,4110
310,1082268,110,4111
311,2055050,106,5216
312,6046254,113,4110
313,1076019,102,4110
314,2067309,104,4124
315,5002250,110,4110
316,2079145,104,5254
317,6049208,113,4110
318,7021080,106,5216
319,2041241,104,5254
320,6151179,113,4110
321,5021164,113,4110
322,1073132,102,5217
323,6145181,104,4111
324,6046180,106,5216
325,7022136,113,4110
326,2069224,102,4110
327,2062342,102,4110
328,2032707,104,4111
329,7007058,113,4110
330,6052133,110,4110
331,6131185,109,4110
332,6047259,102,4110
333,1077273,102,5217
334,6008077,107,4110
335,1054127,104,4111
336,1077146,110,4111
337,2060130,102,4110
338,2085157,106,5216
339,2062048,104,5254
340,6021083,110,4111
341,1088089,110,4111
342,1003181,104,4111
343,7040237,109,4110
344,5031062,102,4110
345,1038060,113,4110
346,6131172,106,5216
347,1082122,102,4117
348,4012124,113,4110
349,6160004,110,4110
350,6049295,106,4110
351,2062535,113,4110
352,5038561,104,4111
353,2065083,104,5254
354,1023270,102,5217
355,1083263,102,5217
356,1004087,106,5216
357,2043379,104,5254
358,1052183,113,4110
359,2037106,104,5254
360,2085103,113,4110
361,7044094,113,4110
362,6117303,113,4110
363,2018060,106,5216
364,2071307,113,4110
365,2037364,102,4111
366,1054287,104,4111
368,4008127,106,5216
369,6052206,102,4110
370,2066275,113,4110
371,2088060,104,5254
372,6049189,104,4111
373,1047060,106,5216
374,7018135,106,5216
375,1053096,102,5217
376,2019137,106,5216
377,1074189,104,5254
378,7008051,104,5254
379,5010147,102,4110
380,6113166,104,4110
381,1076145,106,5216
382,1005236,104,4111
383,2029141,104,4111
384,6124007,104,4110
385,2013168,113,4110
386,5065299,106,5216
387,2067047,109,4110
388,2035062,113,4110
389,6124149,104,4110
390,6100167,110,4111
391,2008101,104,4111
392,2061307,104,4110
393,6136147,104,4111
394,2070079,104,4124
395,1006105,104,4111
396,6050218,104,4110
397,1019030,106,5216
398,6052224,117,4110
400,6138208,102,4111
401,2006429,113,4110
402,2057182,113,4110
403,6128170,104,4111
404,7023350,113,4110
405,6128158,106,5216
406,6044231,107,4110
407,2087200,113,4110
408,7014323,113,4110
409,1089139,104,4111
410,1056337,102,5217
411,1049076,113,4110
412,6043291,113,4110
413,2026189,102,5217
414,2057151,104,4111
415,6068101,110,4111
416,6018144,109,4110
417,2003002,104,4110
419,5072203,106,5216
420,6131022,110,4110
421,7004145,104,4110
422,5061067,106,5216
423,6070069,110,4111
424,1080086,102,5217
425,6050242,117,4110
426,6012054,110,4111
427,2004321,104,4111
428,6148018,104,4110
429,1024129,104,4111
430,2012388,104,4111
431,7014378,109,4111
432,2010274,104,4111
434,2054075,104,4111
435,4005233,104,4110
436,5004222,107,4110
437,1051221,104,4111
438,5022041,104,4124
439,1003090,117,4110
440,1044057,102,4107
441,2072233,106,5216
442,6094146,102,4125
443,7023302,104,4111
444,2011381,104,4111
445,6042203,104,4110
446,2023293,109,4203
447,1006100,104,4111
448,6050233,117,4110
449,1076230,102,5217
450,2043339,117,4110
451,2011502,104,4111
452,5004263,110,4110
453,2078155,104,4111
454,1056382,104,4110
455,7001010,102,4110
456,2010098,104,4111
457,6041148,110,4111
458,7046070,104,4111
459,2006114,104,4111
460,1053287,102,5217
461,2069050,104,4110
462,6150177,107,4110
463,2038231,104,4111
464,1003265,104,4111
465,2074015,104,4110
466,1091229,102,5217
467,4007087,104,4111
468,6042181,104,4111
469,2059110,104,4111
471,7017152,102,5217
472,6149066,102,4110
473,6144173,102,5217
474,3039048,104,4110
475,6050141,106,5506
476,1029101,110,4111
477,6043273,110,4111
478,6045292,107,4185
479,2011028,109,4110
480,2018114,109,4203
481,6120151,117,4110
