Rank,RollNo,InsituteCode,CourseCode
326,4012277,104,4124
328,2044001,113,4110
329,1014174,104,4124
331,7038106,104,4111
332,1006246,104,5254
333,6015134,113,4110
335,4036265,106,5216
336,2067076,104,4111
337,7038278,104,4111
338,1034170,102,5221
339,7018018,102,5221
340,4001338,106,5216
342,1070351,113,4110
344,4011034,104,4111
345,6088132,102,5219
346,1039269,102,5219
347,7016227,113,4110
348,2043030,113,4110
349,2008251,113,4110
350,6008187,110,4111
351,4003301,104,4111
352,1072363,104,4111
353,2047165,104,4111
354,4043315,109,4111
355,4055288,104,4111
356,2005045,104,5254
357,6099207,110,4111
358,7003288,104,4111
359,6014320,106,5216
360,1059041,106,5216
361,6017211,110,4111
363,6019325,104,5254
364,1002021,104,5254
365,7040134,109,4203
366,6113184,106,5216
368,1067300,113,4110
369,7002231,106,5216
370,4004308,102,5221
370,1014048,102,4125
372,2067027,104,5254
373,1019250,102,4125
374,2028297,113,4110
375,6051047,110,4111
376,4031224,104,5254
377,4001281,104,4111
378,1018074,113,4110
379,2053349,104,4111
380,5056086,104,4111
381,1055158,113,4110
382,5040108,102,4125
384,1029211,102,5219
385,1064260,104,5254
386,1022236,102,4125
387,1068197,102,4125
388,1030274,102,5221
389,1073097,102,5219
390,7035046,104,5254
391,6089126,113,4110
392,6015154,113,4110
393,2040014,104,5254
394,4002131,104,5254
395,2040158,104,4111
396,6103288,113,4110
397,1066280,102,5221
399,5056183,104,4111
400,1064178,104,4111
401,6095169,113,4110
402,5012135,113,4110
403,2041115,104,4111
404,2033173,104,4111
405,2049125,104,4111
406,1019026,113,4110
407,4012155,104,4111
409,6019288,104,4111
410,1002279,104,4111
411,2016010,104,4111
412,2067411,102,5221
414,1028337,102,5221
415,6028103,117,4110
416,2067072,104,4111
417,6087036,110,4111
418,2009008,113,4110
422,6015309,113,4110
423,1030243,102,5219
424,1039243,102,5219
425,1014199,102,4125
426,2028061,102,5219
428,1013176,113,4110
429,1022373,113,4110
430,2007052,113,4110
431,6015169,110,4111
432,1073024,113,4110
433,7028269,113,4110
434,6088063,110,4111
435,1029208,102,5221
436,6100162,113,4110
437,5009110,113,4110
439,7023278,113,4110
440,1066039,113,4110
441,2002124,102,4125
442,2005324,113,4110
443,6037009,110,4111
444,5027317,106,4111
445,2002223,104,4125
447,1071322,102,5219
448,1068146,102,5219
449,4013030,113,4110
451,7002191,117,4110
452,2027415,109,4203
453,5007199,102,4125
456,1066159,109,4111
457,4002115,102,5221
458,7001094,117,4110
460,1066127,102,4125
461,1004329,102,5221
462,6067140,110,4111
463,6015099,117,4110
464,7029063,117,4110
466,2067060,109,4111
467,2001448,104,4112
468,1033093,102,4117
469,7002442,117,4110
470,2021295,102,5221
471,2043078,102,5221
472,6013306,110,4111
474,1031123,102,5219
475,2033090,102,5219
478,2019017,104,4125
479,4018138,116,4110
480,7003418,117,4110
482,2040296,102,5219
484,4046080,109,4111
485,1066078,109,4111
486,2017157,117,4110
487,3021257,104,4125
487,7040215,116,4110
489,2027318,102,5219
490,4009411,117,4110
491,2011067,117,4110
493,2021359,117,4110
494,4031071,117,4110
495,6087086,117,4110
496,4002234,102,4125
497,2016026,102,5219
499,2068068,117,4110
500,5038328,109,4111
501,6097227,110,4111
502,6020095,104,4125
503,2032034,104,4112
504,6032143,110,4111
505,5026296,102,4125
508,2065017,102,5219
509,2031070,117,4110
510,2027276,102,5219
511,1005189,117,4110
512,4012364,117,4110
513,4011152,117,4110
514,1050133,102,4125
515,6070169,110,4111
517,5026383,102,4125
518,1055218,117,4110
519,2030147,102,4125
519,2053354,117,4110
521,7003331,102,4125
522,6015059,107,4110
524,2013234,109,4111
525,7001098,102,4125
526,7036214,117,4110
528,5055278,102,4125
529,7036240,117,4110
530,1071282,109,4111
531,2031069,107,4110
531,2028474,109,4111
533,6091332,110,4111
534,1002003,102,4125
535,2006369,117,4110
536,3023227,109,4111
537,2067050,110,4111
538,7007259,117,4110
539,1041161,117,4110
540,5057159,117,4110
541,7014057,102,4125
542,4002077,102,4125
545,3041077,117,4110
546,1003172,110,4111
547,1057146,110,4111
548,2040251,117,4110
549,1073043,102,4125
550,6033026,110,4111
551,6032282,110,4111
554,2030299,107,4110
555,1057167,104,4112
556,1028392,102,4125
557,6012346,117,4110
558,2040213,109,4111
559,6100265,107,4110
562,3023275,104,4125
563,1056163,109,4111
564,7001200,116,4110
565,6095316,110,4111
565,4010164,117,4110
567,2043019,116,4110
568,7040044,104,4112
570,5029003,117,4110
571,6087023,110,4111
572,1072170,109,4111
573,1032271,102,4125
574,6014065,117,4110
578,2051044,109,4111
579,5037052,109,4111
580,6088272,109,4111
582,1073164,109,4111
583,6012070,107,4110
584,1071132,110,4111
586,1064193,106,4115
587,1069313,117,4110
588,4054080,109,4203
589,1064056,109,4203
590,6086135,110,4111
591,6114013,117,4110
592,1018066,102,4125
593,2007074,109,4203
594,4034285,109,4111
595,1051238,102,4125
596,1005053,110,4111
597,5037155,110,4111
598,2034285,109,4111
599,2030052,109,4111
600,4002161,102,4125
601,5023282,109,4111
602,2044083,109,4203
603,1065275,109,4111
604,6013298,110,4111
607,1038033,102,4125
608,6101285,110,4111
609,5012009,102,4125
610,1068155,109,4203
611,6113084,110,4111
612,6012249,106,4115
613,7016216,117,4110
614,2055044,104,4125
615,1019040,102,4125
616,2051155,102,4125
617,4008121,102,4125
617,6098084,117,4110
620,2053265,109,4111
622,7021369,109,4111
623,1064356,109,4111
624,7021166,109,4111
626,1013117,102,4125
627,2016057,104,4125
628,1074052,117,4110
629,4043032,109,4111
632,2040375,104,4112
633,2041238,116,4110
634,6016318,102,4125
635,7003224,109,4111
636,6037222,110,4111
637,2040160,109,4111
638,2047326,109,4111
639,7001107,109,4203
640,7037053,109,4111
641,6019332,110,4111
643,1066243,109,4111
644,7003161,109,4111
645,1034047,102,4125
646,1058241,102,4125
647,6012282,106,4115
648,6030263,106,4115
