Rank,RollNo,Institute Code,Branch Code
347,7002054,104,5254
348,4002084,104,4111
349,1115001,102,5217
350,2092145,104,5254
351,1037252,104,5254
352,1102381,113,4110
355,1101357,102,5217
357,6076228,113,4110
358,7009037,104,4111
360,7008078,113,4110
362,6187365,113,4110
365,5066242,104,4110
366,1144052,113,4110
367,2085023,104,4111
368,6196053,106,5216
370,1178056,102,5217
371,2039021,104,4111
372,7036076,113,4110
373,6162057,104,5254
374,4103119,113,4110
375,2047101,104,4111
376,7016107,113,4110
377,6215140,113,4110
381,6036087,113,4110
383,2026095,104,4111
384,2117084,113,4110
385,2002012,104,5254
386,2052110,113,4110
387,6251038,110,4110
388,2043021,104,4111
389,1164006,102,4125
390,2049118,113,4110
391,6202117,106,5216
393,5047083,104,4110
394,1115014,102,5217
395,7088151,106,5216
400,1160250,106,5216
401,1102489,102,5217
403,6186455,102,4117
404,5091342,113,4110
405,6236063,113,4110
407,1102220,102,5217
408,1041046,104,5254
409,2107090,113,4110
411,1062175,110,4111
412,2114156,113,4110
413,4030108,104,4111
415,5065191,106,5216
416,4112069,104,4111
417,1177054,102,5217
419,6230090,107,4110
420,4110041,104,4111
421,6203048,113,4110
422,1059308,113,4110
425,2081373,117,4110
426,3087115,117,4110
427,2076776,104,4192
428,4075052,104,4111
429,1031167,106,5216
431,7004072,104,4110
433,2049010,104,4111
434,1102364,107,4185
435,7077034,104,4111
437,1163062,106,5216
438,5035163,117,4110
439,1049070,110,4111
440,6175070,110,4111
441,5084077,106,5216
443,1111041,102,4111
444,2045312,109,4203
445,2104111,104,4111
446,4008169,106,5216
447,6158347,109,4111
448,2100022,117,4110
449,1004120,117,4110
451,1044118,110,4111
453,1042070,104,4111
454,6149083,110,4111
455,2004108,106,5216
456,6072103,107,4110
458,6271041,107,4110
459,6083035,107,4110
460,3044153,106,5216
462,2107262,106,5216
464,6197127,109,4203
466,5068227,104,4111
468,4089066,104,4111
469,3077017,117,4110
471,6154069,110,4111
472,2027044,104,4111
473,5047237,106,5216
474,2107231,106,5216
476,2104054,107,4110
478,2031067,104,4111
479,6196098,117,4110
481,6162121,107,4110
482,1031220,117,4110
483,1162125,106,5216
484,5094250,104,4110
485,6164101,110,4111
486,6189374,104,4111
489,5088027,106,5216
491,7070099,104,4111
492,2039055,102,4117
493,7016163,107,4185
494,1102305,117,4110
495,5032122,104,4111
496,2100085,117,4110
497,6186388,107,4110
498,2100351,117,4110
501,6237129,110,4110
502,2081233,116,4110
503,5091575,106,5216
504,2078033,106,5216
506,2118051,117,4110
508,1145038,102,5217
509,6158374,104,4111
510,7037130,104,4111
512,4015021,117,4110
514,1105096,107,4110
516,1158321,104,4111
517,2088036,117,4110
518,1102053,102,5217
519,4040348,117,4110
521,7032379,104,4110
524,2087139,104,4111
525,4034085,117,4110
526,7038017,104,4111
527,1107008,107,4110
529,6098053,110,4110
530,6160039,110,4111
531,6231084,107,4110
532,5069058,106,4115
533,2033031,117,4110
534,2034084,104,4111
536,1040159,117,4110
537,5079010,109,4203
539,6164069,110,4111
540,4035081,102,4125
541,6187188,107,4110
542,2008146,104,4111
543,1031218,117,4110
544,6214093,110,4111
545,1013044,117,4110
546,2055426,104,4111
547,2043041,104,4111
550,5047187,104,4111
552,1105125,104,4192
553,1138007,117,4110
554,7008027,117,4110
555,6003120,107,4110
556,2102104,109,4203
557,6192357,117,4110
558,7026161,117,4110
559,5054132,117,4110
560,2055894,117,4110
561,1042034,117,4110
562,2082299,117,4110
563,4009314,117,4110
564,6161216,107,4110
565,6207231,110,4111
566,1004026,107,4110
569,6185408,109,4203
570,2022082,104,5216
571,6161078,110,4111
572,1037133,104,4111
573,1050025,117,4110
574,1072071,110,4110
575,2100481,104,4111
576,6231033,110,4110
577,4015349,109,4110
578,2072134,117,4110
579,2102273,117,4110
580,2079004,102,4111
581,6188260,107,4110
582,1149101,105,4110
584,6087235,107,4110
585,1007171,104,4124
586,5035492,117,4110
587,1027062,117,4110
588,1060053,117,4110
589,7040026,116,4110
590,1102362,102,4117
591,6101049,110,4111
592,6127055,102,5217
593,1025010,110,4111
594,2021007,104,4111
595,2117064,116,4110
596,7012448,109,4111
597,2040013,104,4112
598,4017106,109,4111
601,6207269,107,4124
602,6108091,102,4117
603,4100094,109,4111
604,6187299,110,4111
606,7038082,109,4111
607,7032354,109,4203
608,7016168,109,4111
609,4018037,109,4203
610,6189418,107,4185
611,6189468,107,4185
612,1104027,102,4117
613,6185374,107,4185
614,1157140,110,4111
615,2033047,102,5217
616,6091071,107,4185
617,4063105,104,4125
618,1031158,110,4111
619,6214098,102,5217
620,4009286,102,4125
622,2092163,102,4111
623,6196077,107,4185
625,5002107,106,4110
626,4005009,106,4115
627,7081082,110,4111
628,2006059,109,4203
629,1105132,102,5217
631,4024126,116,4110
632,4017046,104,4124
634,2018164,116,4110
635,6123430,110,4111
638,6222137,109,4110
639,1161174,102,4125
641,5005107,117,4124
642,2084111,109,4110
645,1159343,107,4185
646,2116037,102,4125
647,2092052,102,5217
648,5060124,109,4203
649,4009243,102,4111
651,5056021,109,4111
652,1040212,110,4111
653,2032021,104,4112
654,1163024,102,4125
655,6236085,104,4124
657,5040079,110,4111
658,5099039,106,4115
662,2039083,109,4111
663,5082092,106,4115
665,1159142,102,5217
666,1149097,102,4125
668,6033034,116,4110
669,2106075,102,5217
670,5096077,106,4115
671,6044068,117,4124
672,6126164,110,4111
673,7032451,104,4124
674,7002119,109,4203
675,7037145,102,5217
676,1101331,102,5217
677,2014038,116,4110
678,1045164,110,4111
679,2107210,106,4115
680,1133009,109,4203
681,7007038,109,4111
682,2021063,104,4112
683,1021181,102,4125
686,1161212,105,4110
687,2038073,116,4110
688,2030027,116,4110
689,7012136,109,4111
690,1105023,102,5217
693,1004423,102,4125
695,1030011,117,4124
696,6185402,116,4110
698,6237169,116,4110
699,1034053,117,4124
700,1104201,102,4125
701,4018150,117,4124
702,1118032,116,4110
703,2037002,104,4112
704,2101150,109,4110
705,2085037,102,5217
708,6161283,116,4110
710,1038197,117,4124
711,7005066,102,5217
712,7039262,102,5217
713,7061025,104,4112
715,6161311,110,4111
716,5098052,102,4117
717,2054638,109,4111
718,6160095,110,4111
719,7050038,104,4125
721,4001312,104,4112
722,2054373,104,4112
723,2106114,102,5217
724,7014100,116,4110
725,2100114,109,4110
726,2046166,104,4112
728,1158127,110,4111
729,6161325,110,4111
730,6185323,110,4111
732,6186345,102,4125
