Rank ,RollNo,InstituteCode,CourseCode
321,1042274,104,4111
322,4031077,109,4111
323,5010141,102,4125
324,1044194,110,5216
325,2046081,102,5221
326,1042041,104,4111
327,2008034,104,4124
328,4006221,104,4111
329,1042302,104,4111
330,6053021,110,4111
331,2034013,102,4125
332,6079197,110,4111
333,5040109,109,4111
334,5011037,106,5216
335,5002106,102,4125
336,7001203,104,4124
338,1045297,102,5221
339,2032041,102,5221
340,1016015,102,4125
342,2033028,102,5221
343,4023117,104,4124
344,1024265,109,4111
345,2013055,102,5221
346,6082015,106,5216
347,6003038,102,4125
348,1042089,102,5221
349,6007041,110,4111
350,5018206,104,4124
351,2002067,104,4124
353,1002264,102,4125
355,5025181,109,4111
356,1031151,110,4111
357,1046081,109,4111
358,5038008,106,5216
359,1023409,102,5221
360,4006330,109,4111
361,6080069,104,4124
362,6004269,106,5216
363,1017045,102,5221
364,6036141,106,5216
365,2018297,113,4110
366,1044113,102,5221
367,4024115,102,5219
368,5036127,102,5221
369,1045136,113,4110
370,4006030,113,4110
371,4001347,102,5221
372,1045191,109,4111
373,6005173,102,5221
374,4032138,109,4111
375,7002068,102,5219
376,1003211,102,4125
377,1016410,102,5219
378,4025159,106,5216
379,6004133,106,5216
381,7027295,109,4111
382,6064135,110,4111
383,1040096,109,4111
385,2026070,109,4204
386,2048017,104,4124
387,6009069,110,4111
388,1042176,106,5216
390,1042383,109,4111
391,1047223,102,5219
392,7011035,113,4110
393,6043160,106,4115
394,1032186,102,4125
395,3002075,109,4111
396,7023035,104,4125
398,6081193,110,4111
399,5016043,109,4111
400,1054131,104,4124
401,2007102,104,4125
402,2026123,104,4124
403,7014126,106,5216
404,1032225,102,4125
405,7022106,106,5216
406,7008404,104,4124
407,7001397,113,4110
408,6003072,104,4124
409,3010154,106,4115
410,2012156,104,4124
411,4001099,113,4110
412,2018283,102,4125
413,1040154,109,4111
414,6036099,110,4111
415,1024146,106,5216
416,5025366,109,4111
417,1016186,102,5219
418,6005136,104,4124
419,1046444,109,4111
420,2017349,104,4125
421,5026035,106,5216
422,2013202,113,4110
423,5002132,106,5216
424,6049070,106,5216
425,4002093,102,5219
426,2012171,104,4125
427,1046165,109,4111
428,5020093,106,5216
429,2039060,102,5219
431,1024245,106,5216
432,4008237,106,5216
433,5002151,110,4111
434,1016302,102,4125
435,7012152,113,4110
436,1042122,106,5216
438,4022054,109,4111
441,6015244,104,4124
442,1015335,104,5254
443,2049055,106,5216
444,2007390,104,5254
445,2051015,113,4110
446,2035117,113,4110
