Rank,RollNo,Course
951,2062307,B4107 
952,7018205,K4125 
953,1083182,K4125 
954,2062191,W4110 
955,6055259,M5217 
956,1002165,W4110 
957,6078091,M4125 
958,2039175,G5225 
959,5005403,M4125 
1060,2041221,B4107 
1061,2016184,B4107 
1062,6045270,W4110 
1063,6001276,W4110 
1064,1080168,G4125 
1065,2047144,W4110 
1066,4036343,V4110 
1067,2009103,D4109 
1069,7018060,G4125 
1071,4005358,B4107 
1072,6008237,G4125 
1073,2054082,W4110 
1074,1021310,M5217 
1076,2039017,V4110 
1077,1073087,B4107 
1078,2048027,G4125 
1079,1037111,G5225 
1080,6005084,B4107 
1081,2063039,D4109 
1082,1072153,R4114 
1083,5045058,G5225 
1084,2043188,W4110 
1085,6002094,G4125 
1086,7017387,R4114 
1087,1074037,W4110 
1088,4009219,W4110 
1089,1088009,B4107 
1090,1027242,B4117 
1091,1061146,G4125 
1092,2012247,R4114 
1093,1025254,G5225 
1094,1031014,G5225 
1095,1060115,B4107 
1096,1054251,M5217 
1097,2042160,R4114 
1098,1002065,G5225 
1099,2053236,K4202 
1100,2025142,W4110 
1101,1024180,B4107 
1102,5052190,G4125 
1103,2043178,B4107 
1104,1028015,B4107 
1105,1031035,B5226 
1106,6039227,W4110 
1214,6023219,G5222 
1215,1006057,B4101 
1216,6046081,H4110 
1218,1023200,B4109 
1220,4002209,B4107 
1221,7006323,D4107 
1222,1054087,R4111 
1223,7028387,V4110 
1224,7014226,K4203 
1225,7032239,B4107 
1226,3035171,G4125 
1227,6086090,M4107 
1228,1084002,D4107 
1229,4040150,K4107 
1230,4024205,G5222 
1231,6043212,G4125 
1232,2051109,B4101 
1234,2040151,D4107 
1235,3009162,W4114 
1237,6081020,M4107 
1238,1090096,W4124 
1239,3004222,B4101 
1240,2019176,B4107 
1241,4038125,K4107 
1243,1084110,B4128 
1245,1058178,H4110 
1246,1085161,D4109 
1247,6007206,M5238 
1247,2038256,D4136 
1249,6005146,H4111 
1250,1070103,D4107 
1251,6021082,G5222 
1252,7014335,D4107 
1253,2028161,D4136 
1254,6005269,R4114 
1255,6039185,H4110 
1257,2028208,G5222 
1258,6012091,G5222 
1259,6014003,R4114 
1260,1025223,B4109 
1261,1081071,R4114 
1262,6033228,V4110 
1367,6002160,W4114 
1368,6014034,M5238 
1370,5050149,G5239 
1371,1019069,B5229 
1372,6018076,B4101 
1373,7013065,B4109 
1374,7024232,V4110 
1376,5045153,K4109 
1377,1055299,R4111 
1378,1027219,D4107 
1379,6011265,M5218 
1380,6035108,H4110 
1381,1033037,D4117 
1382,7030128,V4110 
1385,4004380,B4109 
1386,2002118,D4109 
1387,1026039,R4125 
1389,4023086,V4110 
1390,5025074,R4111 
1391,6023162,V4110 
1392,1036199,B4101 
1393,1025177,B4109 
1394,1074085,B4109 
1395,1031066,B4109 
1396,1054019,V4110 
1397,1064263,D4107 
1398,1032087,B4109 
1399,5015153,D4107 
1400,4027103,M5238 
1401,5005215,R4111 
1402,1074005,D4107 
1403,2061263,D4109 
1404,1024182,B4101 
1405,2049167,D5210 
1406,1065132,R4111 
1408,1040315,R4111 
1409,1079116,V4110 
1410,2001013,D4136 
1411,1050057,H4110 
1412,1035216,B4109 
1413,2004046,D4117 
1414,4005391,G5239 
1415,1039386,W4114 
1514,7004224,R4111 
1515,2047164,R4111 
1516,2067047,K4107 
1517,6083238,M5237 
1519,2036064,R4125 
1520,2030258,K4203 
1521,6030082,M4101 
1523,7006231,R4109 
1524,6006065,R4111 
1525,6060302,B4109 
1526,6015056,B4101 
1528,6034243,V5216 
1529,6045047,M5237 
1531,7030416,W4114 
1533,1029042,B4109 
1534,4035418,K4107 
1535,1051182,R4111 
1537,1003027,R4111 
1538,6086377,M5238 
1539,4004440,B4109 
1541,2041139,R4111 
1542,6046162,W4124 
1543,6071021,M4107 
1544,2047148,B4109 
1545,7009155,R4125 
1546,2021170,G5239 
1547,1068191,B4109 
1548,6084066,M5237 
1549,2015003,R4111 
1550,1013249,R4111 
1551,2011062,R4111 
1552,1050067,M5238 
1553,7002048,R4111 
1554,1046101,M5237 
1554,1036156,B4109 
1556,1040265,V4113 
1557,7028168,D4136 
1558,7022271,D4117 
1559,2012047,D4136 
1560,6056192,R4111 
1561,7015490,R4111 
1562,7014162,B4109 
1674,1027070,B4101 
1675,2048066,G4121 
1676,1023092,B4109 
1677,6041160,G5239 
1678,2052066,K4202 
1679,6057021,K4204 
1681,4009153,G4121 
1682,1067099,R4111 
1683,1047038,M5236 
1685,4008402,R4111 
1686,2003287,G5239 
1687,2043132,W4114 
1688,3027150,B4109 
1689,6081188,M4107 
1692,2054270,G5239 
1694,6016094,H4111 
1695,7027031,R4111 
1696,6026039,M5236 
1697,5015167,V4113 
1699,6017237,M5236 
1699,2015016,G5239 
1701,1009210,B4128 
1702,2052170,D4109 
1703,6040085,K4203 
1704,1007282,K4203 
1705,6019229,W4114 
1706,6024169,R4111 
1707,4007374,R4111 
1708,1088101,R4111 
1709,2054251,D5210 
1711,7002165,M5236 
1713,1037322,B5226 
1715,6035191,D4136 
1716,6081027,M4117 
1717,6039103,G5239 
1718,4007369,R4111 
1719,4036406,K4107 
1721,6010045,M4107 
1723,4009165,K4107 
1724,2029294,D4117 
1725,6053054,M4109 
1726,2029178,M5236 
1727,7009185,D4109 
1728,1004298,G5239 
1829,4008160,D4109 
1831,1077060,R4125 
1832,2054039,W4114 
1833,6035083,V4113 
1835,7012218,V4113 
1836,4040017,V4113 
1837,1062075,D5210 
1838,5039079,D4136 
1840,2050077,D4109 
1841,4007463,R4125 
1842,2004187,K4107 
1843,2007116,R4125 
1843,4005222,D5210 
1845,2044189,D4109 
1846,5051041,G4121 
1847,1057092,K4107 
1850,4029079,V4113 
1851,1011192,W4114 
1852,7011107,D4109 
1853,6053154,M4101 
1854,7020245,D4109 
1855,1065136,V4113 
1856,2012255,D4109 
1857,6054046,M4107 
1858,1037235,G4121 
1859,2004073,K4107 
1860,1076192,K4107 
1861,1026102,W4116 
1863,7014072,V4113 
1864,6009052,M4109 
1866,4001164,K4107 
1868,4004425,V4113 
1871,6022124,M4101 
1872,2050019,R4125 
1873,1001024,M4101 
1874,7032099,V4113 
1876,2041177,K4203 
1877,6035195,W4114 
1878,2067215,K4203 
1879,1047073,R4125 
1881,2013177,D4136 
1978,2061168,K4107 
1979,2024073,K4109 
1980,4040259,M4117 
1981,2003102,V4113 
1982,1062133,W4116 
1983,6086302,W4116 
1984,1083159,K4109 
1985,2049105,V4111 
